state,agegrp5,season,freq,freq_se,freq_lcl,freq_ucl,sens,sens_se,sens_lcl,sens_ucl,prob_d,prob_d_se,prob_d_lcl,prob_d_ucl,mult,mult_lcl,mult_ucl
CA,1,1415,0.410256411,0.055694658,0.301094882,0.519417941,0.937499986,0.042787089,0.853637293,1.02136268,0.38461538,0.055085446,0.276647906,0.492582854,2.600000032,2.030115324,3.614702945
CA,2,1415,0.545454545,0.086678282,0.375565112,0.715343978,0.944444464,0.053984893,0.838634074,1.050254854,0.515151525,0.08699774,0.344635955,0.685667095,1.941176433,1.458433701,2.901612516
CA,3,1415,0.675675675,0.044431821,0.588589306,0.762762045,0.946666654,0.02594312,0.89581814,0.997515169,0.639639631,0.045568551,0.550325272,0.728953991,1.563380303,1.371828693,1.817107176
CA,4,1415,0.66359447,0.032073794,0.600729833,0.726459106,0.94444444,0.019086561,0.90703478,0.981854101,0.626728108,0.032833231,0.562374974,0.691081241,1.595588243,1.447007878,1.778173009
CA,5,1415,0.647572814,0.014885376,0.618397476,0.676748152,0.859070461,0.013472228,0.832664894,0.885476028,0.556310676,0.015480145,0.525969591,0.586651761,1.797556731,1.704588764,1.901250599
CO,1,1415,0.476190476,0.062922689,0.352862005,0.599518947,0.866666656,0.062061075,0.745026949,0.988306362,0.412698408,0.062025972,0.291127503,0.534269313,2.423076953,1.871715212,3.434921095
CO,2,1415,0.909090905,0.086673461,0.739210922,1.078970888,0.900000056,0.094863432,0.71406773,1.085932382,0.818181866,0.116285008,0.59026325,1.046100481,1.222222151,0.955931115,1.694159343
CO,3,1415,0.700000006,0.083665193,0.536016229,0.863983784,0.809523807,0.08568721,0.641576876,0.977470738,0.56666667,0.090470652,0.389344193,0.743989147,1.764705872,1.344105628,2.56842151
CO,4,1415,0.644444445,0.071357165,0.504584402,0.784304488,0.827586204,0.070142728,0.690106457,0.96506595,0.533333332,0.074368801,0.387570481,0.679096182,1.875000006,1.472545461,2.58017586
CO,5,1415,0.563758389,0.040627133,0.484129209,0.643387568,0.602409639,0.053718417,0.497121542,0.707697737,0.339613488,0.038937367,0.263296248,0.415930728,2.944523809,2.40424651,3.798003235
CT,1,1415,0.725806447,0.05665499,0.614762667,0.836850227,0.71111112,0.067565245,0.578683241,0.843539,0.516129036,0.063466325,0.391735039,0.640523032,1.937499987,1.561224108,2.552745861
CT,2,1415,0.692307689,0.128006561,0.44141483,0.943200548,0.666666664,0.157133656,0.358684698,0.974648631,0.461538458,0.138263029,0.19054292,0.732533996,2.166666684,1.365124357,5.248161408
CT,3,1415,0.71428571,0.085372553,0.546955507,0.881615914,0.800000006,0.089440896,0.624695849,0.975304162,0.571428573,0.093520527,0.388128341,0.754728805,1.749999996,1.324979243,2.576467358
CT,4,1415,0.59574468,0.071582598,0.455442787,0.736046572,0.793103445,0.075220148,0.645671955,0.940534935,0.472487158,0.072327184,0.330725876,0.614248439,2.11645964,1.628005764,3.023652128
CT,5,1415,0.675496688,0.038100397,0.600819911,0.750173466,0.61764706,0.048117208,0.523337332,0.711956787,0.417218543,0.04012766,0.338568329,0.495868758,2.396825395,2.016662644,2.953613538
GA,1,1415,0.91999999,0.038364118,0.844806319,0.995193662,0.93478259,0.036401728,0.863435202,1.006129977,0.859999974,0.049067744,0.763827195,0.956172752,1.162790734,1.045836119,1.309196644
GA,2,1415,0.759999995,0.085415339,0.592585931,0.927414059,0.894736838,0.070402521,0.756747897,1.032725779,0.679999992,0.093292813,0.497146079,0.862853906,1.470588252,1.158944745,2.011481219
GA,3,1415,0.473684211,0.080998382,0.314927382,0.632441039,0.722222218,0.105570588,0.515303866,0.929140571,0.342105262,0.076959894,0.191263869,0.492946654,2.923076937,2.028617074,5.22837903
GA,4,1415,0.243243248,0.070534619,0.104995395,0.381491101,0.666666664,0.157133656,0.358684698,0.974648631,0.162162165,0.060597594,0.043390881,0.280933449,6.166666564,3.559561895,23.04631715
GA,5,1415,0.386666666,0.039762445,0.308732273,0.464601059,0.465517242,0.065496998,0.337143126,0.593891358,0.18,0.031368857,0.11851704,0.24148296,5.555555562,4.141078948,8.437605255
MN,1,1415,0.607142858,0.065262991,0.479227395,0.735058321,0.852941173,0.060736811,0.733897025,0.971985322,0.517857142,0.066771855,0.386984307,0.648729977,1.931034487,1.541473395,2.584084117
MN,2,1415,0.400000001,0.126491561,0.152076541,0.647923462,0.83333333,0.152141104,0.535136766,1.131529894,0.333333333,0.121715642,0.094770675,0.571895991,3.000000003,1.748569697,10.55178725
MN,3,1415,0.535714285,0.094249648,0.350984976,0.720443595,0.66666667,0.12171521,0.42810486,0.905228481,0.357142859,0.090551836,0.179661259,0.534624458,2.799999987,1.870471851,5.566030228
MN,4,1415,0.531914893,0.072783702,0.389258838,0.674570948,0.680000003,0.093294455,0.49714287,0.862857135,0.361702129,0.070086808,0.224331984,0.499072274,2.764705873,2.003717804,4.457679111
MN,5,1415,0.476510067,0.040916432,0.39631386,0.556706275,0.478873205,0.059286153,0.362672344,0.595074066,0.228187903,0.034380288,0.160802539,0.295573268,4.382353254,3.383255895,6.218807289
NM,1,1415,0.684210527,0.061567655,0.563537923,0.804883131,0.74358974,0.069919178,0.606548152,0.880631328,0.508771928,0.066215699,0.378989159,0.638554697,1.965517248,1.566036557,2.638597906
NM,2,1415,0.722222218,0.105570588,0.515303866,0.929140571,0.769230767,0.11685265,0.540199573,0.998261961,0.555555551,0.117119764,0.326000814,0.785110288,1.800000016,1.273706403,3.067477004
NM,3,1415,0.612903227,0.087482851,0.44143684,0.784369614,0.789473678,0.093527014,0.606160731,0.972786626,0.483870965,0.089754988,0.307951188,0.659790742,2.066666678,1.515632059,3.247267871
NM,4,1415,0.477272685,0.075300003,0.329684679,0.62486069,0.761904752,0.092941443,0.579739524,0.944069981,0.363636327,0.072519995,0.221497136,0.505775517,2.75000028,1.977161737,4.51473106
NM,5,1415,0.353333333,0.039029188,0.276836124,0.429830542,0.509433962,0.06866805,0.374844585,0.64402334,0.18,0.031368848,0.118517058,0.241482942,5.555555556,4.141079241,8.437604009
NY,1,1415,0.567567567,0.081445294,0.407934791,0.727200342,0.904761901,0.064052984,0.779218052,1.030305749,0.51351351,0.082168435,0.352463378,0.674563643,1.947368433,1.482439812,2.837174193
NY,2,1415,0.636363638,0.145039893,0.352085448,0.920641828,0.857142853,0.13225568,0.59792172,1.116363985,0.545454544,0.150129279,0.251201157,0.839707931,1.833333338,1.190890265,3.980873382
NY,3,1415,0.722222218,0.105570588,0.515303866,0.929140571,0.923076921,0.073900176,0.778232577,1.067921265,0.666666662,0.111108352,0.448894292,0.884439032,1.500000011,1.130660186,2.22769596
NY,4,1415,0.627118645,0.062955254,0.503726347,0.750510943,0.918918914,0.044871357,0.830971053,1.006866774,0.576271184,0.064331584,0.450181278,0.702361089,1.735294126,1.423769078,2.221327381
NY,5,1415,0.695945947,0.037811898,0.621834627,0.770057268,0.836538458,0.03625955,0.76546974,0.907607177,0.58218555,0.040463766,0.502876568,0.661494531,1.717665443,1.511728296,1.988559546
OR,1,1415,0.634920635,0.060656971,0.516032973,0.753808298,0.902439,0.046337475,0.811617548,0.993260452,0.572977143,0.062144627,0.451173675,0.694780611,1.745270316,1.439303261,2.216441373
OR,2,1415,0.5,0.144337574,0.217098354,0.782901646,0.83333333,0.152141104,0.535136766,1.131529894,0.416666665,0.142317683,0.137724007,0.695609323,2.40000001,1.437588553,7.260898243
OR,3,1415,0.678571431,0.088258684,0.50558441,0.851558451,0.894736838,0.070402521,0.756747897,1.032725779,0.607142856,0.092294445,0.426245744,0.788039968,1.647058826,1.268971169,2.346064481
OR,4,1415,0.425531916,0.072119272,0.284178143,0.566885688,0.949999992,0.048728527,0.854492078,1.045507906,0.404255316,0.071582373,0.263953866,0.544556767,2.473684227,1.836355841,3.788540837
OR,5,1415,0.483221477,0.040938581,0.402981857,0.563461096,0.84722222,0.042398416,0.764121324,0.930323115,0.409395972,0.040283199,0.330440903,0.488351042,2.442622957,2.047707315,3.02625974
TN,1,1415,0.454545455,0.067140939,0.322949214,0.586141696,0.640000001,0.095999431,0.451841116,0.828158887,0.290909092,0.061241717,0.170875327,0.410942857,3.43749999,2.433428355,5.852219973
TN,2,1415,0.565217391,0.103366277,0.362619487,0.767815294,0.538461538,0.138263967,0.267464162,0.809458914,0.304347825,0.095943709,0.116298155,0.492397496,3.285714292,2.030879541,8.598588672
TN,3,1415,0.604651165,0.074560136,0.458513299,0.750789032,0.615384617,0.095410891,0.428379271,0.802389962,0.372093025,0.073711843,0.227617812,0.516568238,2.687499984,1.935852663,4.393329281
TN,4,1415,0.437500001,0.087695302,0.265617209,0.609382793,0.71428571,0.120735014,0.477645083,0.950926337,0.312499999,0.081937935,0.151901646,0.473098352,3.200000013,2.113725395,6.583207137
TN,5,1415,0.374149659,0.039911818,0.295922496,0.452376823,0.527272727,0.067319567,0.395326376,0.659219078,0.197278911,0.032821977,0.132947836,0.261609986,5.068965527,3.822484054,7.521747083
