"season","agcat","died","ntest1","ntest2","ntest3","ntest0","testres1","testres2","testres3","Noutcome","FSNpop","USpop"
1,1,0,193,173,67,250,10,26,7,951,2055904,20201362
1,1,1,0,0,0,2,0,0,0,3,2055904,20201362
1,2,0,54,26,19,67,10,6,2,455,5011801,53980105
1,2,1,0,0,1,3,0,0,0,1,5011801,53980105
1,3,0,242,74,42,324,58,11,4,1487,13409365,135515233
1,3,1,5,0,1,10,3,0,0,44,13409365,135515233
1,4,0,336,56,33,621,73,7,0,1157,5497475,58780854
1,4,1,10,1,5,44,2,0,0,48,5497475,58780854
1,5,0,527,103,30,1155,87,14,2,2060,3375593,40267984
1,5,1,38,5,4,112,3,0,1,101,3375593,40267984
2,1,0,29,76,22,92,3,8,2,290,1811750,20162058
2,1,1,0,0,0,0,0,0,0,0,1811750,20162058
2,2,0,6,11,13,19,3,0,4,192,4743417,53772214
2,2,1,0,0,0,0,0,0,0,0,4743417,53772214
2,3,0,13,14,7,67,2,0,0,520,12661214,135641166
2,3,1,0,1,0,5,0,0,0,6,12661214,135641166
2,4,0,19,20,6,115,4,1,1,412,5347052,60622338
2,4,1,0,1,0,7,0,0,0,20,5347052,60622338
2,5,0,29,36,13,294,6,4,3,943,3228301,41394141
2,5,1,3,2,3,25,1,0,0,32,3228301,41394141
3,1,0,116,118,73,159,14,25,9,1214,1820900,19999344
3,1,1,1,0,1,1,1,0,0,5,1820900,19999344
3,2,0,34,34,17,72,13,12,4,688,4798572,53728744
3,2,1,0,0,0,1,0,0,0,12,4798572,53728744
3,3,0,96,74,7,164,27,20,0,2039,12788546,135875135
3,3,1,1,1,0,1,0,0,0,23,12788546,135875135
3,4,0,171,94,7,256,33,12,1,2171,5431068,61165461
3,4,1,5,4,0,17,1,1,0,52,5431068,61165461
3,5,0,512,206,18,710,134,40,4,6000,3384583,43145356
3,5,1,34,10,0,50,4,0,0,221,3384583,43145356
4,1,0,240,123,69,262,31,22,4,819,1736742,19868088
4,1,1,2,0,0,2,0,0,0,2,1736742,19868088
4,2,0,76,43,12,101,18,23,3,432,4619048,53717784
4,2,1,0,0,0,0,0,0,0,1,4619048,53717784
4,3,0,163,87,16,256,52,24,1,2576,12316218,135963236
4,3,1,5,1,0,5,2,0,0,67,12316218,135963236
4,4,0,233,77,28,403,51,16,2,2716,5297121,61875657
4,4,1,11,4,2,21,1,0,0,129,5297121,61875657
4,5,0,532,206,55,1093,91,24,4,2729,3383709,44704074
4,5,1,35,5,1,88,2,0,0,137,3383709,44704074
5,1,0,206,56,51,210,38,9,4,986,1740157,19876883
5,1,1,0,0,0,0,0,0,0,11,1740157,19876883
5,2,0,71,21,8,62,18,8,3,761,4635405,53706735
5,2,1,1,0,0,0,0,0,0,8,4635405,53706735
5,3,0,144,72,7,125,28,14,1,2227,12403732,136381837
5,3,1,2,1,0,5,0,1,0,18,12403732,136381837
5,4,0,232,75,10,234,50,19,1,2778,5373511,62648390
5,4,1,9,2,0,13,2,0,0,92,5373511,62648390
5,5,0,635,177,20,653,182,43,4,10456,3522651,46243211
5,5,1,37,4,1,59,7,2,0,406,3522651,46243211
6,1,0,101,390,29,237,20,17,2,738,1747046,19907281
6,1,1,0,0,0,0,0,0,0,3,1747046,19907281
6,2,0,64,218,17,253,19,41,6,449,4651189,53737830
6,2,1,0,6,1,1,0,0,0,2,4651189,53737830
6,3,0,113,368,13,418,19,57,1,2017,12506025,136800721
6,3,1,2,8,0,7,0,0,0,34,12506025,136800721
6,4,0,107,434,15,484,18,71,5,2384,5432099,63212136
6,4,1,4,29,1,35,0,0,0,68,5432099,63212136
6,5,0,215,1010,25,1036,36,111,3,2956,3656589,47760852
6,5,1,16,68,2,117,3,6,0,139,3656589,47760852
7,1,0,92,429,37,370,6,23,2,709,1746982,19927037
7,1,1,1,0,0,0,0,0,0,3,1746982,19927037
7,2,0,82,283,35,396,19,62,12,718,4657885,53715248
7,2,1,0,0,0,2,0,0,0,2,4657885,53715248
7,3,0,105,425,244,798,15,66,24,2216,12567756,136938833
7,3,1,1,9,3,23,0,1,0,29,12567756,136938833
7,4,0,117,561,160,574,12,110,17,3333,5440905,63302200
7,4,1,3,41,10,42,0,3,0,80,5440905,63302200
7,5,0,242,1387,142,1212,49,302,22,9984,3786303,49244195
7,5,1,17,115,9,130,2,16,0,415,3786303,49244195
8,1,0,31,220,22,224,7,26,5,1248,1763067,19938860
8,1,1,0,1,0,0,0,0,0,3,1763067,19938860
8,2,0,15,116,27,166,3,25,13,911,4716609,53716518
8,2,1,0,1,0,2,0,0,0,10,4716609,53716518
8,3,0,31,397,227,547,17,115,49,3814,12890634,137808369
8,3,1,0,8,2,14,0,3,0,54,12890634,137808369
8,4,0,45,642,114,376,19,175,23,6075,5516377,63396752
8,4,1,1,47,1,24,0,13,0,146,5516377,63396752
8,5,0,109,1634,107,595,63,337,18,16794,3988806,50858679
8,5,1,4,143,14,62,0,34,3,640,3988806,50858679
