site,pop1,pop2,pop3,pop4,pop5,season
CA,202054,517879,1676310,696706,481780,1516
CO,171320,457528,1208090,494725,304880,1516
CT,52973,160708,429521,219646,163372,1516
GA,268374,721887,1830946,712466,391457,1516
MD,167700,441137,1185385,560276,382572,1516
MN,198197,513013,1310040,598436,365719,1516
NM,82376,219705,535239,250382,193121,1516
NY,116245,336166,910498,468442,351239,1516
OR,103925,274243,796836,336512,223166,1516
TN,104439,280221,736447,306653,191219,1516
MI,50988,145058,379801,179189,128317,1516
OH,133297,346667,898781,376467,239324,1516
UT,88259,221050,504766,172757,104910,1516
CA,203569,521618,1711883,702370,514278,1617
CO,171550,463687,1257361,504100,332086,1617
CT,51756,155358,421764,221136,170190,1617
GA,268788,737205,1857372,741725,431892,1617
MD,165972,441471,1174857,564266,403391,1617
MN,200673,515885,1315722,604326,397028,1617
NM,76893,216075,525349,246247,208338,1617
NY,115100,328899,897327,466350,369297,1617
OR,105821,275285,827280,337958,244263,1617
TN,109947,286568,763559,317229,208524,1617
MI,50959,141698,377882,177881,135294,1617
OH,138362,348535,916800,381406,256417,1617
UT,87582,225458,519528,175056,113730,1617
