season,agecat,osh,rcu,pi
1,1,0,846,107
1,1,1,343,94
1,2,0,372,80
1,2,1,292,50
1,3,0,8814,1796
1,3,1,11853,793
1,4,0,26701,4969
1,4,1,35841,1494
1,5,0,118077,27632
1,5,1,215042,17038
2,1,0,762,84
2,1,1,338,83
2,2,0,310,55
2,2,1,293,42
2,3,0,7726,1399
2,3,1,10234,651
2,4,0,24553,4511
2,4,1,34241,1425
2,5,0,107085,24603
2,5,1,204842,15108
3,1,0,730,72
3,1,1,378,113
3,2,0,382,92
3,2,1,286,45
3,3,0,8151,1480
3,3,1,10740,656
3,4,0,26436,4992
3,4,1,36864,1539
3,5,0,115751,27762
3,5,1,227263,17477
4,1,0,729,84
4,1,1,314,70
4,2,0,338,66
4,2,1,288,41
4,3,0,8059,1732
4,3,1,10674,697
4,4,0,25554,5127
4,4,1,36762,1595
4,5,0,103277,23451
4,5,1,211088,13830
5,1,0,758,91
5,1,1,335,92
5,2,0,386,61
5,2,1,287,44
5,3,0,7629,1355
5,3,1,10482,630
5,4,0,25755,4521
5,4,1,37075,1524
5,5,0,109778,25702
5,5,1,226728,15583
6,1,0,713,70
6,1,1,334,84
6,2,0,352,56
6,2,1,293,49
6,3,0,8153,1513
6,3,1,10516,618
6,4,0,26473,5007
6,4,1,38041,1541
6,5,0,106950,23427
6,5,1,222860,12724
7,1,0,742,86
7,1,1,335,82
7,2,0,379,60
7,2,1,282,39
7,3,0,8179,1358
7,3,1,10761,605
7,4,0,26520,4627
7,4,1,39113,1414
7,5,0,109392,24548
7,5,1,235171,13666
